all_values - INFO - 2025-05-14 21:20:00 all: {'teplota_vzduchu': 11.8, 'prizemni_teplota': 5.1, 'teplota_pudy_10cm': 13.1, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 64.93, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.1, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
all_values - INFO - 2025-05-14 21:30:00 all: {'teplota_vzduchu': 11.8, 'prizemni_teplota': 5, 'teplota_pudy_10cm': 13.1, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 65.278, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.1, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.1, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
all_values - INFO - 2025-05-14 21:40:00 all: {'teplota_vzduchu': 11.7, 'prizemni_teplota': 4.9, 'teplota_pudy_10cm': 13, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 67.3, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.2, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 21:40:00 all: {'teplota_vzduchu': 11.7, 'prizemni_teplota': 4.9, 'teplota_pudy_10cm': 13, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 67.3, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.2, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 21:50:00 all: {'teplota_vzduchu': 11.9, 'prizemni_teplota': 5.1, 'teplota_pudy_10cm': 13, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 66.409, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.1, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.2, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 21:50:00 all: {'teplota_vzduchu': 11.9, 'prizemni_teplota': 5.1, 'teplota_pudy_10cm': 13, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 66.409, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.1, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.2, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 22:00:00 all: {'teplota_vzduchu': 11.7, 'prizemni_teplota': 5.3, 'teplota_pudy_10cm': 12.9, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 66.142, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.5, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.2, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 22:20:00 all: {'teplota_vzduchu': 12, 'prizemni_teplota': 5.7, 'teplota_pudy_10cm': 12.8, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 65.331, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.7, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 22:30:00 all: {'teplota_vzduchu': 12.1, 'prizemni_teplota': 6.1, 'teplota_pudy_10cm': 12.8, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 63.206, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.6, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1006.9, 'globalni_zareni_Wm2': 0.8, 'napeti': 12.9}
all_values - INFO - 2025-05-14 22:30:00 all: {'teplota_vzduchu': 12.1, 'prizemni_teplota': 6.1, 'teplota_pudy_10cm': 12.8, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 63.206, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.6, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1006.9, 'globalni_zareni_Wm2': 0.8, 'napeti': 12.9}
