all_values - INFO - 2025-05-20 23:40:00 all: {'teplota_vzduchu': 8, 'prizemni_teplota': 2, 'teplota_pudy_10cm': 12.8, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 100, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.3, 'globalni_zareni_Wm2': 0.6, 'napeti': 12.9}
all_values - INFO - 2025-05-20 23:50:00 all: {'teplota_vzduchu': 7.8, 'prizemni_teplota': 1.9, 'teplota_pudy_10cm': 12.8, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 100, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.2, 'globalni_zareni_Wm2': 0.7, 'napeti': 12.9}
all_values - INFO - 2025-05-21 01:10:00 all: {'teplota_vzduchu': 8.2, 'prizemni_teplota': 1.7, 'teplota_pudy_10cm': 12.6, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 100, 'smer_vetru_stupne_180_jih': 135, 'oroseni_listu': 0, 'rychlost_vetru_mss': 0.3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.8, 'globalni_zareni_Wm2': 0.7, 'napeti': 12.9}
all_values - INFO - 2025-05-21 02:50:00 all: {'teplota_vzduchu': 6.9, 'prizemni_teplota': 1.5, 'teplota_pudy_10cm': 12.4, 'teplota_pudy_20cm': 12.7, 'teplota_pudy_30cm': 11.9, 'srazky': 0, 'vlhkost_vzduchu': 100, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 0, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.6, 'globalni_zareni_Wm2': 0.9, 'napeti': 12.8}
all_values - INFO - 2025-05-21 03:30:00 all: {'teplota_vzduchu': 6.9, 'prizemni_teplota': 2.3, 'teplota_pudy_10cm': 12.3, 'teplota_pudy_20cm': 12.6, 'teplota_pudy_30cm': 11.9, 'srazky': 0, 'vlhkost_vzduchu': 100, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 0, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.5, 'globalni_zareni_Wm2': 21.1, 'napeti': 12.8}
all_values - INFO - 2025-05-21 03:50:00 all: {'teplota_vzduchu': 7.3, 'prizemni_teplota': 3.6, 'teplota_pudy_10cm': 12.2, 'teplota_pudy_20cm': 12.6, 'teplota_pudy_30cm': 11.9, 'srazky': 0, 'vlhkost_vzduchu': 100, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 0, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1012.6, 'globalni_zareni_Wm2': 42.9, 'napeti': 12.8}
all_values - INFO - 2025-05-21 04:10:00 all: {'teplota_vzduchu': 8.1, 'prizemni_teplota': 4.9, 'teplota_pudy_10cm': 12.1, 'teplota_pudy_20cm': 12.6, 'teplota_pudy_30cm': 11.9, 'srazky': 0, 'vlhkost_vzduchu': 100, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 0, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.6, 'globalni_zareni_Wm2': 57.6, 'napeti': 12.9}
all_values - INFO - 2025-05-21 04:30:00 all: {'teplota_vzduchu': 9.2, 'prizemni_teplota': 6.6, 'teplota_pudy_10cm': 12.1, 'teplota_pudy_20cm': 12.5, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 100, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 0, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1012.5, 'globalni_zareni_Wm2': 237.3, 'napeti': 13.1}
all_values - INFO - 2025-05-21 04:40:00 all: {'teplota_vzduchu': 10, 'prizemni_teplota': 7.1, 'teplota_pudy_10cm': 12, 'teplota_pudy_20cm': 12.5, 'teplota_pudy_30cm': 11.9, 'srazky': 0, 'vlhkost_vzduchu': 100, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 0, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1012.4, 'globalni_zareni_Wm2': 146.4, 'napeti': 13.3}
all_values - INFO - 2025-05-21 04:50:00 all: {'teplota_vzduchu': 12, 'prizemni_teplota': 8.3, 'teplota_pudy_10cm': 12, 'teplota_pudy_20cm': 12.5, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 98.293, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 0, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1012.3, 'globalni_zareni_Wm2': 314, 'napeti': 13.8}
